date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:25	121/121	---M--	200	added ('OK')	text/plain	etag:%22532188b8-79%22	http://jxcg.cdu.edu.cn/robots.txt		(from )
20:18:26	14205/14205	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:21:09%20GMT	http://jxcg.cdu.edu.cn/	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index.html	(from )
20:18:26	416/416	---M--	200	added ('OK')	application/javascript	etag:%225321895c-1a0%22	http://jxcg.cdu.edu.cn/Public/js/tgyy.js	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/js/tgyy.js	(from http://jxcg.cdu.edu.cn/)
20:18:27	1690/1690	---M--	200	added ('OK')	text/css	etag:%225322bee5-69a%22	http://jxcg.cdu.edu.cn/Public/css/style.css	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/css/style.css	(from http://jxcg.cdu.edu.cn/)
20:18:27	3765/3765	---M--	200	added ('OK')	text/css	etag:%225325cf30-eb5%22	http://jxcg.cdu.edu.cn/Public/css/qu.css	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/css/qu.css	(from http://jxcg.cdu.edu.cn/)
20:18:27	3379/3379	---M--	200	added ('OK')	text/css	etag:%2253248b0e-d33%22	http://jxcg.cdu.edu.cn/Public/css/cgly.css	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/css/cgly.css	(from http://jxcg.cdu.edu.cn/)
20:18:27	1755/1755	---M--	200	added ('OK')	text/css	etag:%2253229aa5-6db%22	http://jxcg.cdu.edu.cn/Public/css/tgyy.css	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/css/tgyy.css	(from http://jxcg.cdu.edu.cn/)
20:18:28	2146/2146	---M--	200	added ('OK')	text/css	etag:%2253229aa5-862%22	http://jxcg.cdu.edu.cn/Public/css/xiagnxiye.css	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/css/xiagnxiye.css	(from http://jxcg.cdu.edu.cn/)
20:18:28	32138/32138	---M--	200	added ('OK')	application/javascript	etag:%2253218947-7d8a%22	http://jxcg.cdu.edu.cn/Public/ckplayer/ckplayer.js	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/ckplayer/ckplayer.js	(from http://jxcg.cdu.edu.cn/)
20:18:30	15848/15848	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:21:13%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=1	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexe317.html	(from http://jxcg.cdu.edu.cn/)
